City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vila franca do campo,37.7167,-25.4333,60.19,78,93,10.74,PT,1643744202
esperance,-33.8667,121.9,60.64,67,52,16.24,AU,1643743970
nara,34.6851,135.8049,40.28,54,28,8.81,JP,1643744202
alta floresta,-9.8756,-56.0861,85.82,70,40,2.3,BR,1643744203
upington,-28.4478,21.2561,71.98,88,100,3.44,ZA,1643744203
vanimo,-2.6741,141.3028,76.55,85,100,5.91,PG,1643744203
pombas,17.1503,-25.0201,74.98,82,13,10,CV,1643744203
killybegs,54.6333,-8.45,49.71,95,100,22.08,IE,1643744204
aswan,24.0934,32.907,61.9,33,0,4.61,EG,1643744204
okhotsk,59.3833,143.3,-0.78,77,7,16.06,RU,1643744047
omboue,-1.5746,9.2618,78.64,88,56,6.46,GA,1643744204
svelgen,61.7685,5.2955,38.39,85,98,15.32,NO,1643744205
aurangabad,19.8833,75.3333,66.43,30,0,4.97,IN,1643744205
farah,32.5,62.5,47.14,66,99,4.09,AF,1643744205
auki,-8.7676,160.7034,79.29,87,96,6.02,SB,1643744205
broome,42.2506,-75.833,37.22,48,0,3,US,1643744206
san rafael,-34.6177,-68.3301,93.79,22,53,11.27,AR,1643744184
byron bay,-28.65,153.6167,80.55,86,100,3.6,AU,1643744206
cockburn town,21.4612,-71.1419,75.2,75,2,20.18,TC,1643744206
itoman,26.1247,127.6694,64.4,88,75,10.36,JP,1643744207
matanzas,23.0411,-81.5775,75.96,69,40,16.11,CU,1643744207
nemuro,43.3236,145.575,23.36,72,12,17.58,JP,1643744267
vadso,70.0744,29.7487,15.51,85,75,5.75,NO,1643744267
villa rica,33.7321,-84.9191,61.25,43,0,10.83,US,1643744268
bud,39.447,-86.1758,60.89,66,100,11.88,US,1643744268
barcelona,41.3888,2.159,59.85,55,20,1.01,ES,1643743783
keti bandar,24.1447,67.4497,71.56,74,0,8.88,PK,1643744268
bathsheba,13.2167,-59.5167,84.81,61,40,14.97,BB,1643744269
amuntai,-2.4177,115.2494,73.87,91,100,1.23,ID,1643744269
maragogi,-9.0122,-35.2225,82.04,71,16,8.21,BR,1643744269
kawalu,-7.3817,108.2082,73,94,100,2.8,ID,1643744269
nouadhibou,20.931,-17.0347,71.58,64,100,6.91,MR,1643744270
mgachi,51.05,142.2667,5.27,98,100,2.86,RU,1643744270
verkhnevilyuysk,63.4453,120.3167,-29.67,99,91,5.01,RU,1643744270
andenes,69.3143,16.1194,26.58,54,0,14.97,NO,1643744270
praia da vitoria,38.7333,-27.0667,59.76,82,40,12.33,PT,1643744271
atikokan,48.7555,-91.6216,12.47,89,100,17.09,CA,1643744196
kapuskasing,49.4169,-82.4331,32.09,74,100,20.71,CA,1643744155
kushiro,42.975,144.3747,16.11,85,12,4.79,JP,1643744271
umri,26.5106,78.9367,56.34,66,0,7.45,IN,1643744271
fort beaufort,-32.7748,26.6338,73.02,80,100,4,ZA,1643744272
bose,45.4612,8.0137,46.94,56,7,5.14,IT,1643744272
nova olinda do norte,-3.8881,-59.0942,82.78,82,89,3.8,BR,1643744272
jati,24.3539,68.2671,70.5,65,0,8.5,PK,1643744272
gandia,38.9667,-0.1833,55.9,60,0,1.01,ES,1643744273
marsh harbour,26.5412,-77.0636,68.07,54,99,15.14,BS,1643744129
kruisfontein,-34.0033,24.7314,74.88,71,99,4.72,ZA,1643744273
bitung,1.4451,125.1824,76.05,84,100,8.9,ID,1643744273
hay river,60.8156,-115.7999,-20.22,63,0,9.22,CA,1643744274
reyes,-14.3167,-67.3833,77.16,94,100,6.91,BO,1643744274
shu,43.5983,73.7614,33.22,72,0,2.71,KZ,1643744274
zatoka,46.0725,30.4654,32.54,77,100,8.1,UA,1643744274
linguere,15.3953,-15.1193,86.07,10,99,10.76,SN,1643744197
carlagan,14.975,122.0456,76.35,78,100,16.37,PH,1643744275
palamos,41.8484,3.1291,61.11,72,3,7.65,ES,1643744275
turayf,31.6725,38.6637,50.25,66,40,9.22,SA,1643744275
tabuk,17.4189,121.4443,68.81,89,90,2.93,PH,1643744276
kalmar,56.6616,16.3616,34.14,97,100,4.61,SE,1643744276
lundazi,-12.2929,33.1782,64.36,94,8,6.06,ZM,1643744276
clyde river,70.4692,-68.5914,-19.97,63,100,4.61,CA,1643744276
nishihara,26.1842,127.7558,63.68,86,75,10.36,JP,1643744277
samarai,-10.6167,150.6667,80.74,79,100,12.71,PG,1643744277
iqaluit,63.7506,-68.5145,-18.31,75,100,0,CA,1643744277
coro,11.4045,-69.6734,84.74,62,32,21.79,VE,1643744277
boden,65.8252,21.6886,6.8,95,100,5.95,SE,1643744278
bengkulu,-3.8004,102.2655,73.35,87,100,6.67,ID,1643744278
diamantino,-14.4086,-56.4461,76.55,86,94,8.63,BR,1643744278
graaff-reinet,-32.2522,24.5308,75.92,70,100,9.53,ZA,1643744339
tarashcha,49.5583,30.4926,18.28,94,43,6.49,UA,1643744339
aksu,41.1231,80.2644,23.16,51,0,0.6,CN,1643744339
sioux lookout,50.1001,-91.917,17.67,79,100,20.71,CA,1643744339
tautira,-17.7333,-149.15,84.22,77,24,20.96,PF,1643744340
demerval lobao,-5.3583,-42.6764,90.81,52,23,2.66,BR,1643744340
healdsburg,38.6105,-122.8692,61.92,24,0,3,US,1643744340
mweka,-4.85,21.5667,74.88,73,93,1.63,CD,1643744340
minab,27.1467,57.0801,69.3,83,0,3.44,IR,1643744341
tovuz,40.9922,45.6289,45.39,43,15,5.91,AZ,1643744341
puerto colombia,10.9878,-74.9547,87.89,74,3,21.99,CO,1643744333
veriora,58.0079,27.3551,22.89,98,84,3.36,EE,1643744341
turukhansk,65.8167,87.9833,8.22,94,99,9.06,RU,1643744342
wonthaggi,-38.6044,145.5913,59.72,59,92,14.94,AU,1643744342
nikolsk,53.7189,46.0712,25.29,93,99,13.87,RU,1643744342
bonnyville,54.2668,-110.735,-6.48,86,92,12.01,CA,1643744343
iwanai,42.9744,140.5089,25.45,78,100,8.5,JP,1643744343
puerto escondido,15.85,-97.0667,86.83,62,0,16.11,MX,1643744343
walvis bay,-22.9575,14.5053,70.09,79,35,5.21,NA,1643744344
buraydah,26.326,43.975,52.25,36,0,8.25,SA,1643744344
port-cartier,50.0334,-66.8654,8.74,80,100,3.13,CA,1643744344
miranda,3.2499,-76.2281,84.65,68,63,1.3,CO,1643744344
lauria,40.0465,15.8358,36.61,68,41,9.08,IT,1643744345
sabha,27.0377,14.4283,55.74,19,9,10.38,LY,1643744345
kishni,27.0247,79.2634,54.37,72,0,6.62,IN,1643744345
lima,-12.0432,-77.0282,78.39,82,0,3,PE,1643744212
salina cruz,16.1667,-95.2,83.37,64,1,16.24,MX,1643744345
romitan,39.9343,64.3814,44.55,76,0,6.91,UZ,1643744346
lityn,49.3251,28.0809,18.99,94,100,6.58,UA,1643744346
tres arroyos,-38.3739,-60.2798,91.53,20,36,14.14,AR,1643744346
tacuarembo,-31.7333,-55.9833,91.62,24,0,11.23,UY,1643744347
lahaina,20.8783,-156.6825,78.8,69,3,7.27,US,1643744106
banda aceh,5.5577,95.3222,77.56,79,30,3.98,ID,1643744347
mastic beach,40.7668,-72.8521,38.12,66,100,1.01,US,1643744347
caronport,50.4501,-105.8179,-4.32,90,52,13.56,CA,1643744347
fare,-16.7,-151.0167,80.76,76,0,20.89,PF,1643744348
prince rupert,54.3161,-130.3201,35.29,93,20,6.91,CA,1643744348
ambon,-3.6954,128.1814,80.74,78,40,6.91,ID,1643744348
campo de criptana,39.4046,-3.1249,47.17,66,0,10.18,ES,1643744349
humberto de campos,-2.5983,-43.4611,83.23,67,92,9.69,BR,1643744349
svetlyy,54.675,20.1347,32.05,98,100,13.58,RU,1643744349
sendai,38.2689,140.8719,29.34,77,78,6.29,JP,1643744349
san jeronimo,-11.9472,-75.2829,53.87,80,100,5.3,PE,1643744350
lagoa,39.05,-27.9833,58.48,76,41,17.27,PT,1643744350
hambantota,6.1241,81.1185,73.15,80,1,13.35,LK,1643744222
abha,18.2164,42.5053,57.02,82,0,0,SA,1643744410
tomatlan,19.9333,-105.25,90.99,20,0,11.79,MX,1643744410
rockport,28.0206,-97.0544,73.24,78,20,1.99,US,1643744411
taltal,-25.4,-70.4833,69.15,68,19,5.59,CL,1643744411
kiama,-34.6833,150.8667,72,91,100,15.43,AU,1643744202
atasu,48.6814,71.6433,5.38,87,96,5.88,KZ,1643744411
berbera,10.4396,45.0143,77.49,81,16,6.82,SO,1643744412
karlskoga,59.3267,14.5239,25.92,79,97,8.5,SE,1643744412
puerto madryn,-42.7692,-65.0385,80.28,34,6,4.45,AR,1643744257
bialystok,53.1333,23.15,30.2,85,100,3,PL,1643744351
luwuk,-0.9516,122.7875,77.29,76,100,4.88,ID,1643744412
rocha,-34.4833,-54.3333,77,40,0,5.66,UY,1643744413
baykit,61.67,96.37,-10.97,100,100,0.69,RU,1643744413
kayerkan,69.3497,87.7602,3.52,84,100,6.62,RU,1643744413
belmonte,-15.8631,-38.8828,86.5,72,2,9.26,BR,1643744413
moissala,8.3404,17.7663,74.88,15,60,5.01,TD,1643744414
caledon,-34.23,19.4265,68.16,67,24,1.61,ZA,1643744414
cumana,10.4635,-64.1775,80.49,73,56,13.62,VE,1643744414
vilcun,-38.65,-72.2333,75.94,26,0,6.73,CL,1643744414
altay,47.8667,88.1167,11.97,79,100,3.36,CN,1643744415
bandar,2.05,99.75,71.76,97,100,2.71,ID,1643744415
eidfjord,60.4675,7.0719,28.6,97,97,1.28,NO,1643744415
mirnyy,62.5353,113.9611,-33.02,100,21,3.65,RU,1643744416
panaba,21.2833,-88.2667,84.51,42,39,10.09,MX,1643744416
tavricheskoye,54.5851,73.6395,2.3,100,98,4.74,RU,1643744416
warrnambool,-38.3833,142.4833,53.82,56,65,13.85,AU,1643744416
bardiyah,31.7561,25.0865,57.15,53,100,21.12,LY,1643744417
ukiah,39.1502,-123.2078,58.44,40,0,5.75,US,1643744417
padre bernardo,-15.35,-48.5,77.4,80,82,4.81,BR,1643744417
sobolevo,54.4299,31.8996,14.7,97,100,8.1,RU,1643744417
dehloran,32.6941,47.2679,52.36,63,0,3.89,IR,1643744418
kharp,66.8014,65.8081,-14.85,100,89,1.3,RU,1643744418
moshi,-3.35,37.3333,71.06,76,100,1.88,TZ,1643744418
palencia,42.4167,-4.5,42.93,83,0,8.7,ES,1643744419
drayton valley,53.2168,-114.9854,-2.09,73,100,10.85,CA,1643744419
ucluelet,48.9329,-125.5528,39.09,90,78,1.01,CA,1643744323
petukhovo,55.0692,67.9019,8.33,98,79,7.7,RU,1643744419
calvinia,-31.4707,19.776,75.87,58,100,5.84,ZA,1643744419
nanton,50.3501,-113.7687,4.87,68,100,9.84,CA,1643744420
bekhtery,46.251,32.2927,37,87,100,4.32,UA,1643744420
saint george,37.1041,-113.5841,52.27,26,0,3,US,1643744420
mount pleasant,32.7941,-79.8626,63.09,58,0,1.01,US,1643744421
carutapera,-1.195,-46.02,80.19,84,90,9.13,BR,1643744421
helong,42.5397,128.9972,4.82,89,20,5.37,CN,1643744421
port-gentil,-0.7193,8.7815,80.82,81,86,11.39,GA,1643744422
gorontalo,0.5412,123.0595,73.04,94,82,3.8,ID,1643744422
salinopolis,-0.6136,-47.3561,81.27,79,79,11.83,BR,1643744422
moroni,-11.7022,43.2551,80.47,78,100,2.13,KM,1643744482
demirci,39.0461,28.6589,35.58,90,96,7.67,TR,1643744483
salinas,36.6777,-121.6555,59.18,41,0,9.22,US,1643744400
cairns,-16.9167,145.7667,79.07,97,94,1.14,AU,1643744377
jiblah,13.9216,44.1467,58.5,78,31,1.83,YE,1643744483
oranjestad,12.524,-70.027,82.35,74,75,17.27,AW,1643744392
sao filipe,14.8961,-24.4956,75.07,73,100,5.53,CV,1643744483
vardo,70.3705,31.1107,15.55,92,0,3.44,NO,1643744484
cap malheureux,-19.9842,57.6142,81.09,86,100,15.01,MU,1643744484
luderitz,-26.6481,15.1594,65.28,87,46,7.29,NA,1643744484
leninskoye,41.7589,69.3864,35.53,37,53,4.16,KZ,1643744485
labuan,5.2767,115.2417,79.16,83,20,3,MY,1643744485
biak,-0.9131,122.8766,76.68,77,100,4.79,ID,1643744262
rusape,-18.5278,32.1284,63.21,93,15,4.74,ZW,1643744485
narasannapeta,18.4167,84.05,69.44,81,0,3.74,IN,1643744485
hazorasp,41.3194,61.0742,30.04,79,100,7.78,UZ,1643744486
chadiza,-14.0678,32.4392,65.16,97,19,2.51,ZM,1643744486
sept-iles,50.2001,-66.3821,9.05,52,75,4.61,CA,1643744404
rampura,30.25,75.2333,49.03,70,0,4.03,IN,1643744486
berdigestyakh,62.0989,126.6992,-18.67,95,100,8.05,RU,1643744486
broken hill,-31.95,141.4333,58.71,58,100,16.11,AU,1643744195
lasa,46.6166,10.7002,40.91,94,100,8.21,IT,1643744487
sorland,67.667,12.6934,28.47,56,100,21.25,NO,1643744487
richards bay,-28.783,32.0377,77.63,80,100,11.86,ZA,1643744487
athabasca,54.7169,-113.2854,-2.38,80,67,14.18,CA,1643744488
newport,51.5877,-2.9984,54.55,83,100,12.39,GB,1643744467
buala,-8.145,159.5921,80.74,84,100,6.4,SB,1643744488
macusani,-14.0833,-70.4333,40.14,94,100,5.41,PE,1643744488
bayanday,53.0661,105.5139,-11.47,100,95,0.58,RU,1643744488
naze,28.3667,129.4833,55.63,71,100,10.74,JP,1643744489
sinop,41.7711,34.8709,32.4,88,98,14.45,TR,1643744489
christiana,-27.914,25.1611,75.61,47,93,6.8,ZA,1643744489
cookeville,36.1628,-85.5016,62.31,23,0,13.8,US,1643744489
san martin,-33.081,-68.4681,93.74,23,24,7.18,AR,1643744447
opuwo,-18.0607,13.84,69.12,41,90,7.02,NA,1643744490
yermolayevo,52.7167,55.8,26.78,96,100,13.98,RU,1643744490
kununurra,-15.7667,128.7333,78.78,89,75,10.36,AU,1643744428
xining,36.6167,101.7667,12.2,73,88,2.08,CN,1643744490
katete,-0.7818,29.7544,65.79,60,100,3.11,UG,1643744491
bontang,0.1333,117.5,77.43,88,85,9.55,ID,1643744491
el tigre,8.8875,-64.2454,90.5,36,42,15.05,VE,1643744491
pa sang,18.5262,98.9394,64.11,39,41,1.3,TH,1643744491
lorengau,-2.0226,147.2712,78.55,80,100,3.76,PG,1643744492
darhan,49.4867,105.9228,-12.19,96,79,5.01,MN,1643744492
prince albert,53.2001,-105.7677,-5.85,59,20,16.11,CA,1643744492
tulu bolo,8.6667,38.2167,59.11,37,68,7.78,ET,1643744492
the pas,53.8251,-101.2541,-9.38,64,0,17.27,CA,1643744493
faya,18.3851,42.4509,57.31,70,5,6.93,SA,1643744493
mildura,-34.2,142.15,57.16,58,2,10.36,AU,1643744351
lulea,65.5842,22.1547,6.87,85,75,5.75,SE,1643744493
murgab,37.4966,61.9714,55.27,41,100,13.8,TM,1643744554
ilheus,-14.7889,-39.0494,87.62,66,20,10.36,BR,1643744554
greymouth,-42.4667,171.2,63.07,95,100,11.95,NZ,1643744554
zhigansk,66.7697,123.3711,-28.35,99,90,9.33,RU,1643744554
adrar,20.5022,-10.0711,76.68,14,97,11.34,MR,1643744555
paredon,16.0333,-93.8667,83.53,59,9,11.43,MX,1643744555
passo de camaragibe,-9.2368,-35.4901,89.15,68,44,7.2,BR,1643744555
mokhsogollokh,61.4681,128.9203,-14.4,94,100,7.9,RU,1643744555
road town,18.4167,-64.6167,82.44,69,40,9.22,VG,1643744556
mitu,1.1983,-70.1733,92.82,33,100,4.7,CO,1643744556
tadine,-21.55,167.8833,78.6,86,34,9.26,NC,1643744556
kingsville,27.5159,-97.8561,74.05,62,40,1.99,US,1643744556
alberdi,-32.8899,-60.6906,95.04,35,0,8.05,AR,1643744557
verkhoyansk,67.5447,133.385,-16.94,97,100,0.51,RU,1643744382
bilibino,68.0546,166.4372,5.59,65,100,5.68,RU,1643744557
ponta delgada,37.7333,-25.6667,60.49,77,40,5.75,PT,1643744557
ngunguru,-35.6167,174.5,72.16,82,100,17.78,NZ,1643744558
meulaboh,4.1363,96.1285,75.31,89,96,5.19,ID,1643744558
tilichiki,60.4667,166.1,15.31,93,100,9.8,RU,1643744420
landeck,47.1301,10.5636,31.75,96,100,4.99,AT,1643744558
lengshuijiang,27.6881,111.4294,35.44,97,100,5.97,CN,1643744558
anadyr,64.75,177.4833,16.3,62,0,17.9,RU,1643744454
mwense,-10.3845,28.698,66.54,96,85,2.08,ZM,1643744559
marion,39.7684,-86.1555,61.18,41,75,19.57,US,1643744529
katherine,-14.4667,132.2667,77.32,78,66,9.22,AU,1643744399
fort thomas,39.0751,-84.4472,60.04,37,0,11.5,US,1643744559
mayo,38.8876,-76.5119,44.91,62,0,1.99,US,1643744552
avera,33.194,-82.5271,64.44,46,0,10.22,US,1643744559
uruzgan,32.8333,66,40.28,58,97,1.61,AF,1643744560
dafeng,23.4517,108.5881,45.14,87,100,4.68,CN,1643744560
sambava,-14.2667,50.1667,76.62,83,58,8.5,MG,1643744460
port lincoln,-34.7333,135.8667,60.66,56,52,17.87,AU,1643744560
west bay,19.3667,-81.4167,80.67,81,40,4,KY,1643744561
havelock,34.8791,-76.9013,57.06,51,8,3,US,1643744561
mingaora,34.7758,72.3625,43.11,48,2,6.8,PK,1643744322
payakumbuh,-0.2202,100.6308,69.82,98,100,2.71,ID,1643744561
pangnirtung,66.1451,-65.7125,-27.4,68,20,2.3,CA,1643744534
kenai,60.5544,-151.2583,20.03,83,100,24.16,US,1643744561
waipawa,-41.4122,175.5153,67.93,63,100,7.07,NZ,1643744562
pionerskiy,54.9508,20.2275,31.84,86,100,15.05,RU,1643744562
alegrete,-29.7831,-55.7919,98.82,19,0,4.18,BR,1643744562
chapais,49.7834,-74.8492,15.58,81,100,17.34,CA,1643744515
acopiara,-6.0953,-39.4525,89.64,32,81,6.51,BR,1643744562
channel-port aux basques,47.5702,-59.1367,19.87,66,95,18.41,CA,1643744563
panuco,22.05,-98.1667,77.04,47,11,4.29,MX,1643744563
oistins,13.0667,-59.5333,84.29,61,40,14.97,BB,1643744563
saint joseph,39.7686,-94.8466,45.32,54,75,17.27,US,1643744564
bonavista,48.6499,-53.1147,28.11,55,94,18.63,CA,1643744564
mogadishu,2.0371,45.3438,78.39,87,100,20.13,SO,1643744624
lesogorsk,56.0458,99.5136,-8.55,100,89,1.3,RU,1643744624
saint-joseph,-21.3667,55.6167,79.16,92,82,22.28,RE,1643744625
hemsedal,60.8629,8.5534,21.33,97,100,2.77,NO,1643744625
olafsvik,64.8945,-23.7142,31.5,87,100,4.76,IS,1643744455
espelkamp,52.3833,8.6167,46.31,85,76,22.32,DE,1643744625
inirida,3.8653,-67.9239,98.08,27,26,2.19,CO,1643744625
isfana,39.8386,69.5306,27.16,42,99,7.56,KG,1643744626
varzea da palma,-17.5981,-44.7308,79.32,75,100,2.46,BR,1643744626
shelburne,44.0787,-80.2041,36.12,70,100,18.14,CA,1643744626
hit,33.6416,42.8251,50.38,64,0,3.09,IQ,1643744627
raton,36.9034,-104.4391,41.05,32,0,1.01,US,1643744627
cibitoke,-2.8833,29.25,60.94,91,100,2.73,BI,1643744627
brewster,41.3973,-73.6171,37.27,59,40,1.01,US,1643744627
chuy,-33.6971,-53.4616,73.63,45,0,8.72,UY,1643744628
ciudad guayana,8.3533,-62.6528,87.53,65,100,8.3,VE,1643744628
bichena,10.45,38.2,59.76,45,60,2.75,ET,1643744628
sechura,-5.5569,-80.8222,82.89,53,7,16.02,PE,1643744628
beringovskiy,63.05,179.3167,-1.21,84,100,13.96,RU,1643744391
smithers,54.7804,-127.1743,19.72,73,75,2.3,CA,1643744450
bilma,18.6853,12.9164,59.34,20,0,6.17,NE,1643744629
nieuw amsterdam,5.8833,-55.0833,87.96,66,20,11.5,SR,1643744629
tombouctou,20,-3,72.59,14,44,11.03,ML,1643744629
sibu,2.3,111.8167,75.51,94,40,0,MY,1643744629
college,64.8569,-147.8028,-0.74,74,20,3.44,US,1643744630
waingapu,-9.6567,120.2641,77.47,83,10,8.55,ID,1643744630
issoire,45.55,3.25,45.66,95,100,1.92,FR,1643744630
beboto,8.2668,16.939,72.14,16,26,4.25,TD,1643744631
marzuq,14.4,46.4667,64.49,76,39,5.44,YE,1643744631
honiara,-9.4333,159.95,79.02,86,95,3.4,SB,1643744365
sorong,-0.8833,131.25,79.56,75,100,5.26,ID,1643744631
sao jose da coroa grande,-8.8978,-35.1478,82.31,70,14,8.25,BR,1643744631
miri,4.4148,114.0089,77.14,100,40,0,MY,1643744632
touros,-5.1989,-35.4608,86.9,70,49,12.8,BR,1643744632
pacific grove,36.6177,-121.9166,58.77,44,0,1.99,US,1643744632
port augusta,-32.5,137.7667,60.94,50,100,16.69,AU,1643744633
gemlik,40.4309,29.1597,52.84,82,98,6.78,TR,1643744334
lerwick,60.1545,-1.1494,39.2,68,100,29.08,GB,1643744633
olecko,54.0337,22.507,28.54,97,100,8.5,PL,1643744633
nhulunbuy,-12.2333,136.7667,77.61,94,100,4.61,AU,1643744533
